"step","time","part","epoch","loss","lr"
20,"2023-08-13 22:47:29.318433","train",0,0.13015757501125336,8.003480193001814e-05
40,"2023-08-13 22:47:57.573700","train",0,0.40282565355300903,8.013920519679262e-05
60,"2023-08-13 22:48:25.964941","train",0,0.39355385303497314,8.03132022306665e-05
80,"2023-08-13 22:48:55.089265","train",0,0.17175360023975372,8.05567804161556e-05
100,"2023-08-13 22:49:23.027041","train",0,0.48901069164276123,8.086992209286204e-05
120,"2023-08-13 22:49:49.980403","train",0,0.43749740719795227,8.125260455675511e-05
140,"2023-08-13 22:50:17.653184","train",0,0.4933820366859436,8.17048000618173e-05
160,"2023-08-13 22:50:44.781169","train",0,0.5475057363510132,8.222647582205615e-05
180,"2023-08-13 22:51:12.476107","train",0,0.4925349950790405,8.281759401388214e-05
200,"2023-08-13 22:51:36.188672","train",0,0.21879073977470398,8.347811177884887e-05
220,"2023-08-13 22:51:57.058793","train",0,0.32705533504486084,8.420798122676281e-05
240,"2023-08-13 22:52:17.822138","train",0,0.04615186154842377,8.50071494391542e-05
