"step","time","part","epoch","loss","lr","auroc","auprc","accuracy","f_measure","f_beta_measure","g_beta_measure","challenge_metric"
20,"2023-08-14 01:19:23.281305","train",0,0.21987292170524597,8.003480193001814e-05,"","","","","","",""
40,"2023-08-14 01:19:49.865565","train",0,0.6631043553352356,8.013920519679262e-05,"","","","","","",""
60,"2023-08-14 01:20:16.810727","train",0,0.7793394923210144,8.03132022306665e-05,"","","","","","",""
80,"2023-08-14 01:20:43.698077","train",0,0.705514669418335,8.05567804161556e-05,"","","","","","",""
100,"2023-08-14 01:21:10.956163","train",0,0.24026000499725342,8.086992209286204e-05,"","","","","","",""
120,"2023-08-14 01:21:37.735521","train",0,0.5932042598724365,8.125260455675511e-05,"","","","","","",""
140,"2023-08-14 01:22:04.674324","train",0,0.5039259195327759,8.17048000618173e-05,"","","","","","",""
160,"2023-08-14 01:22:30.721164","train",0,0.1528884619474411,8.222647582205615e-05,"","","","","","",""
180,"2023-08-14 01:22:58.242552","train",0,0.27889999747276306,8.281759401388214e-05,"","","","","","",""
200,"2023-08-14 01:23:20.146026","train",0,0.7987003326416016,8.347811177884887e-05,"","","","","","",""
220,"2023-08-14 01:23:39.645835","train",0,0.25163787603378296,8.420798122676281e-05,"","","","","","",""
240,"2023-08-14 01:24:00.077234","train",0,0.012422614730894566,8.50071494391542e-05,"","","","","","",""
246,"2023-08-14 01:25:45.117918","train",0,"","","",0.5930880516702028,0.6320081549439348,0.024324324324324326,0.015358361774744027,0.006198347107438017,0.012328767123287671
