[23796] Output Path: data-after-TEST
[23796] Input Path (Physionet) Data: data-before/physionet-data/training-a
[23796] Input Path (Physionet) Labels: data-before/physionet-data/training-a/REFERENCE.csv
[23796] Input Path (Ephnogram) Data: data-before/ephnogram-data/WFDB
[23796] Input Path (Ephnogram) Labels: data-before/ephnogram-data/ECGPCGSpreadsheet.csv
[23796] ****************MMTF-ECGPCGNet*****************
[23796] ***          ECGPCG Data Cleaning           ***
[23796] ***********************************************
[23796] *** OPTIONS:                               ***
[23796]         RAM usage: 80.0%
[23796]         Number of Processes: 18   [Available: 18]
[23796]         GPU Enabled: True  GPU ID: 0
[23796]         Google Drive Enabled (unprocessed dataset storage): False
[23796]  UNUSED Tensorflow Enabled: False
[23796] ***********************************************
[23796] Attempting to set RAM usage to 80.0%
[23796] Warning: Linux memory_limit function failed - trying Windows
[23796] True
[23796] True
[23796] True
[23796] True
[23796] *** Cleaning Data [1/3] ***
[23796] ** Cleaning Physionet Data **
[23796] * Cleaning Physionet Data - Creating References [1/4] *
[23796] READMEREF:     filename  label
0      a0001      1
1      a0002      1
2      a0003      1
3      a0004      1
4      a0005      1
..       ...    ...
404    a0405     -1
405    a0406     -1
406    a0407     -1
407    a0408     -1
408    a0409     -1

[409 rows x 2 columns]
[23796] Unprocessed label CSV for PHYSIONET:   filename  label
0    a0001      1
1    a0002      1
2    a0003      1
3    a0004      1
4    a0005      1
[23796] * Cleaning Physionet Data - Creating CSV "data-after-TEST/physionet/data_physionet_raw.csv" - QRS, ECGs and PCGs [2/4] *
[27316] Processing Data Item: (['a0025', -1], 24)
[29100] Processing Data Item: (['a0019', -1], 18)
[15356] Processing Data Item: (['a0031', 1], 30)
[25952] Processing Data Item: (['a0001', 1], 0)
[7480] Processing Data Item: (['a0073', 1], 72)
[17292] Processing Data Item: (['a0043', 1], 42)
[13176] Processing Data Item: (['a0079', 1], 78)
[22240] Processing Data Item: (['a0061', 1], 60)
[14248] Processing Data Item: (['a0091', -1], 90)
[2464] Processing Data Item: (['a0049', -1], 48)
[24792] Processing Data Item: (['a0097', 1], 96)
[28752] Processing Data Item: (['a0037', 1], 36)
[27740] Processing Data Item: (['a0085', -1], 84)
[29400] Processing Data Item: (['a0007', -1], 6)
[27892] Processing Data Item: (['a0067', 1], 66)
[10716] Processing Data Item: (['a0013', 1], 12)
[19184] Processing Data Item: (['a0055', -1], 54)
[27740] Processing Data Item: (['a0086', -1], 85)
[27892] Processing Data Item: (['a0068', -1], 67)
[13176] Processing Data Item: (['a0080', -1], 79)
[27316] Processing Data Item: (['a0026', 1], 25)
[29100] Processing Data Item: (['a0020', 1], 19)
[29400] Processing Data Item: (['a0008', 1], 7)
[19184] Processing Data Item: (['a0056', 1], 55)
[24792] Processing Data Item: (['a0098', 1], 97)
[15356] Processing Data Item: (['a0032', -1], 31)
[17292] Processing Data Item: (['a0044', 1], 43)
[2464] Processing Data Item: (['a0050', -1], 49)
[14248] Processing Data Item: (['a0092', 1], 91)
[28752] Processing Data Item: (['a0038', -1], 37)
[22240] Processing Data Item: (['a0062', 1], 61)
[10716] Processing Data Item: (['a0014', 1], 13)
[25952] Processing Data Item: (['a0002', 1], 1)
[17292] Processing Data Item: (['a0045', 1], 44)
[27316] Processing Data Item: (['a0027', -1], 26)
[13176] Processing Data Item: (['a0081', -1], 80)
[27740] Processing Data Item: (['a0087', 1], 86)
[29100] Processing Data Item: (['a0021', 1], 20)
[2464] Processing Data Item: (['a0051', 1], 50)
[19184] Processing Data Item: (['a0057', 1], 56)
[27892] Processing Data Item: (['a0069', -1], 68)
[29400] Processing Data Item: (['a0009', -1], 8)
[7480] Processing Data Item: (['a0074', 1], 73)
[15356] Processing Data Item: (['a0033', 1], 32)
[24792] Processing Data Item: (['a0099', 1], 98)
[14248] Processing Data Item: (['a0093', -1], 92)
[22240] Processing Data Item: (['a0063', 1], 62)
[10716] Processing Data Item: (['a0015', 1], 14)
[25952] Processing Data Item: (['a0003', 1], 2)
[28752] Processing Data Item: (['a0039', 1], 38)
[13176] Processing Data Item: (['a0082', 1], 81)
[29400] Processing Data Item: (['a0010', 1], 9)
[29100] Processing Data Item: (['a0022', 1], 21)
[14248] Processing Data Item: (['a0094', -1], 93)
[7480] Processing Data Item: (['a0075', 1], 74)
[2464] Processing Data Item: (['a0052', 1], 51)
[27740] Processing Data Item: (['a0088', -1], 87)
[24792] Processing Data Item: (['a0100', 1], 99)
[19184] Processing Data Item: (['a0058', 1], 57)
[27892] Processing Data Item: (['a0070', -1], 69)
[27316] Processing Data Item: (['a0028', -1], 27)
[17292] Processing Data Item: (['a0046', 1], 45)
[15356] Processing Data Item: (['a0034', 1], 33)
[27740] Processing Data Item: (['a0089', 1], 88)
[22240] Processing Data Item: (['a0064', 1], 63)
[28752] Processing Data Item: (['a0040', 1], 39)
[25952] Processing Data Item: (['a0004', 1], 3)
[29400] Processing Data Item: (['a0011', -1], 10)
[13176] Processing Data Item: (['a0083', 1], 82)
[10716] Processing Data Item: (['a0016', -1], 15)
[2464] Processing Data Item: (['a0053', -1], 52)
[14248] Processing Data Item: (['a0095', 1], 94)
[19184] Processing Data Item: (['a0059', 1], 58)
[17292] Processing Data Item: (['a0047', 1], 46)
[29100] Processing Data Item: (['a0023', 1], 22)
[27316] Processing Data Item: (['a0029', -1], 28)
[7480] Processing Data Item: (['a0076', 1], 75)
[24792] Processing Data Item: (['a0101', 1], 100)
[27892] Processing Data Item: (['a0071', -1], 70)
[15356] Processing Data Item: (['a0035', -1], 34)
[27316] Processing Data Item: (['a0030', 1], 29)
[22240] Processing Data Item: (['a0065', 1], 64)
[25952] Processing Data Item: (['a0005', 1], 4)
[19184] Processing Data Item: (['a0060', 1], 59)
[29400] Processing Data Item: (['a0012', -1], 11)
[2464] Processing Data Item: (['a0054', 1], 53)
[10716] Processing Data Item: (['a0017', 1], 16)
[13176] Processing Data Item: (['a0084', 1], 83)
[27740] Processing Data Item: (['a0090', 1], 89)
[7480] Processing Data Item: (['a0077', 1], 76)
[14248] Processing Data Item: (['a0096', 1], 95)
[29100] Processing Data Item: (['a0024', 1], 23)
[28752] Processing Data Item: (['a0041', 1], 40)
[17292] Processing Data Item: (['a0048', 1], 47)
[24792] Processing Data Item: (['a0102', -1], 101)
[27892] Processing Data Item: (['a0072', 1], 71)
[28752] Processing Data Item: (['a0042', 1], 41)
[29100] Processing Data Item: (['a0139', -1], 138)
[2464] Processing Data Item: (['a0127', -1], 126)
[17292] Processing Data Item: (['a0133', 1], 132)
[27892] Processing Data Item: (['a0151', 1], 150)
[10716] Processing Data Item: (['a0018', 1], 17)
[19184] Processing Data Item: (['a0109', -1], 108)
[29400] Processing Data Item: (['a0145', 1], 144)
[22240] Processing Data Item: (['a0066', 1], 65)
[25952] Processing Data Item: (['a0006', 1], 5)
[27316] Processing Data Item: (['a0115', 1], 114)
[13176] Processing Data Item: (['a0121', 1], 120)
[27740] Processing Data Item: (['a0103', 1], 102)
[14248] Processing Data Item: (['a0157', 1], 156)
[7480] Processing Data Item: (['a0078', 1], 77)
[15356] Processing Data Item: (['a0036', 1], 35)
[24792] Processing Data Item: (['a0163', 1], 162)
[13176] Processing Data Item: (['a0122', 1], 121)
[19184] Processing Data Item: (['a0110', 1], 109)
[17292] Processing Data Item: (['a0134', 1], 133)
[27316] Processing Data Item: (['a0116', 1], 115)
[29400] Processing Data Item: (['a0146', 1], 145)
[14248] Processing Data Item: (['a0158', 1], 157)
[27892] Processing Data Item: (['a0152', 1], 151)
[2464] Processing Data Item: (['a0128', 1], 127)
[22240] Processing Data Item: (['a0169', 1], 168)
[10716] Processing Data Item: (['a0175', 1], 174)
[29100] Processing Data Item: (['a0140', -1], 139)
[27740] Processing Data Item: (['a0104', 1], 103)
[25952] Processing Data Item: (['a0181', -1], 180)
[7480] Processing Data Item: (['a0187', 1], 186)
[15356] Processing Data Item: (['a0193', -1], 192)
[28752] Processing Data Item: (['a0199', -1], 198)
[29400] Processing Data Item: (['a0147', 1], 146)
[2464] Processing Data Item: (['a0129', -1], 128)
[7480] Processing Data Item: (['a0188', 1], 187)
[27316] Processing Data Item: (['a0117', 1], 116)
[29100] Processing Data Item: (['a0141', -1], 140)
[19184] Processing Data Item: (['a0111', 1], 110)
[27892] Processing Data Item: (['a0153', -1], 152)
[22240] Processing Data Item: (['a0170', 1], 169)
[17292] Processing Data Item: (['a0135', 1], 134)
[10716] Processing Data Item: (['a0176', 1], 175)
[24792] Processing Data Item: (['a0164', 1], 163)
[14248] Processing Data Item: (['a0159', 1], 158)
[13176] Processing Data Item: (['a0123', 1], 122)
